effect_name,effect_id,effect_generation,partner_effects,rarity,availability,release_date,release_update
Serenus Lumen,,Smissmas 2020,"['Genus Plasmos (yellow)', 'Ventum Maris (green)']",Pseudo-Limited,['Winter 2020 Cosmetic Case'],2020-12-03,Smissmas 2020
Special Snowfall,,Smissmas 2020,"['Lavender Landfall (purple)', 'Frozen Fractals (blue)']",Pseudo-Limited,['Winter 2020 Cosmetic Case'],2020-12-03,Smissmas 2020
Ventum Maris,,Smissmas 2020,"['Serenus Lumen (purple)', 'Genus Plasmos (yellow)']",Pseudo-Limited,['Winter 2020 Cosmetic Case'],2020-12-03,Smissmas 2020
Violent Wintertide,,Smissmas 2020,"['Pale Nimbus (white)', 'Blighted Snowstorm (purple)']",Pseudo-Limited,['Winter 2020 Cosmetic Case'],2020-12-03,Smissmas 2020
Anti-Freeze,69,Robotic Boogaloo,['Roboactive (purple)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Electrostatic,67,Robotic Boogaloo,['Power Surge (purple)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Green Black Hole,71,Robotic Boogaloo,['Time Warp (pink)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Memory Leak,65,Robotic Boogaloo,['Overclocked (yellow)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Overclocked,66,Robotic Boogaloo,['Memory Leak (green)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Phosphorous,63,Robotic Boogaloo,['Sulphurous (orange)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Power Surge,68,Robotic Boogaloo,['Electrostatic (yellow)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Roboactive,72,Robotic Boogaloo,['Anti-Freeze (green)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Sulphurous,64,Robotic Boogaloo,['Phosphorous (green)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Time Warp,70,Robotic Boogaloo,['Green Black Hole (green-purple)'],Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Death at Dusk,90,End of the Line,['Morning Glory (day)'],Pseudo-Limited,['End of the Line Community Crate'],2014-12-08,End of the Line Update
Frostbite,87,End of the Line,[],Pseudo-Limited,['End of the Line Community Crate'],2014-12-08,End of the Line Update
Molten Mallard,88,End of the Line,[],Pseudo-Limited,['End of the Line Community Crate'],2014-12-08,End of the Line Update
Morning Glory,89,End of the Line,['Death at Dusk (night)'],Pseudo-Limited,['End of the Line Community Crate'],2014-12-08,End of the Line Update
Abduction,91,Invasion,[],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Ancient Codex,98,Invasion,['Galactic Codex (green)'],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Atomic,92,Invasion,['Subatomic (green)'],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Electric Hat Protector,94,Invasion,"['Magnetic Hat Protector (blue)', 'Voltaic Hat Protector (green)']",Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Galactic Codex,97,Invasion,['Ancient Codex (orange)'],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Magnetic Hat Protector,95,Invasion,"['Electric Hat Protector (yellow)', 'Voltaic Hat Protector (green)']",Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Nebula,99,Invasion,[],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Subatomic,93,Invasion,['Atomic (white)'],Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
Voltaic Hat Protector,96,Invasion,"['Electric Hat Protector (yellow)', 'Magnetic Hat Protector (blue)']",Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
